,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,89.68681423316065,133.02032832692979,118.0,380.0,11.133333333333333,0.05263157894736842,349.0,7.0,189.0,61.0,128.0,-131.0,381.0,46101,1.9987998789473276
0,20 to 50,117.07207099026641,182.88656956482887,171.0,26.25,4.964285714285714,0.02040816326530612,450.81999999999243,8.0,263.0,87.0,176.0,-177.0,527.0,115479,5.006820052080398
0,50 to 80,147.9656808715027,243.5544028489991,235.0,13.92,3.647887323943662,0.012658227848101266,570.0,14.0,351.0,120.0,231.0,-226.5,697.5,154011,6.677450991443935
0,80 to 110,176.08225405050635,302.4045773507503,295.0,10.625,3.118811881188119,0.009174311926605505,662.0,24.0,436.0,154.0,282.0,-269.0,859.0,186685,8.094096774501242
0,110 to 140,198.65117999604047,352.5670877152321,343.0,8.909090909090908,2.7560975609756095,0.007194244604316547,753.0,35.0,504.0,186.0,318.0,-291.0,981.0,208324,9.032298344544001
0,140 to 170,216.20671060242984,394.3698398222846,379.0,7.5177304964539005,2.45578231292517,0.005917159763313609,860.0,50.0,554.0,216.0,338.0,-291.0,1061.0,215154,9.328426480012002
0,170 to 200,230.49450343764317,431.5953203065097,409.0,6.588235294117647,2.225806451612903,0.005025125628140704,948.0,63.0,596.0,246.0,350.0,-279.0,1121.0,206571,8.956293568339696
0,200 to 230,245.90260001407484,469.3902179720638,446.0,5.94,2.080568720379147,0.004424778761061947,1000.0,75.0,640.0,274.0,366.0,-275.0,1189.0,185926,8.061188830896526
0,230 to 260,264.16171536758776,506.8850988854354,485.0,5.51304347826087,1.9872340425531916,0.003952569169960474,1106.2399999999907,84.0,686.0,297.0,389.0,-286.5,1269.5,154381,6.693493071989052
0,260 to 290,283.12771651359543,542.7315450538287,519.0,5.153846153846154,1.8940767584018983,0.0035335689045936395,1200.0,94.0,728.0,319.0,409.0,-294.5,1341.5,124780,5.410083271405122
0,290 to 320,314.42779705112315,587.1309910928884,556.0,5.044827586206897,1.8344155844155845,0.003246753246753247,1320.0,97.0,789.0,337.0,452.0,-341.0,1467.0,101125,4.38447404087869
0,320 to 350,339.34369740674697,626.8357817484837,592.0,4.953125,1.7723076923076924,0.0029069767441860465,1425.0,101.0,848.0,356.0,492.0,-382.0,1586.0,80861,3.5058883106995475
0,350 to 380,363.8300137730329,654.7531281207778,613.0,4.825714285714286,1.6873277400250561,0.002688172043010753,1496.0,100.0,893.0,361.0,532.0,-437.0,1691.0,69671,3.0207237666458266
0,380 to 410,386.8518903745982,686.3280186803364,635.0,4.6947368421052635,1.6102564102564103,0.0025,1580.0,102.0,939.0,375.0,564.0,-471.0,1785.0,56112,2.4328465501289003
0,410 to 440,416.6328885002133,728.6809055383371,673.0,4.614634146341463,1.5857142857142856,0.0023148148148148147,1700.0,102.0,994.0,393.0,601.0,-508.5,1895.5,45579,1.9761675382863764
0,440 to 470,428.70044487940964,744.2732040987374,686.0,4.318181818181818,1.511777301927195,0.0022675736961451248,1732.0,101.0,1000.0,396.0,604.0,-510.0,1906.0,38168,1.654849000665096
0,470 to 500,469.8734415051379,785.6877323420074,709.0,4.468085106382978,1.46723044397463,0.0020325203252032522,1910.0,100.0,1088.0,404.0,684.0,-622.0,2114.0,32368,1.403378548876751
0,500 to 530,490.1195871808937,815.1661586421891,730.0,4.4,1.4272030651340997,0.00196078431372549,1980.0,107.0,1130.0,415.0,715.0,-657.5,2202.5,29552,1.2812853088360645
0,530 to 560,519.7331816821484,844.4131332243915,750.0,4.450094161958568,1.3734073897117376,0.017921146953405017,2030.9399999999987,104.0,1196.0,417.0,779.0,-751.5,2364.5,23776,1.03085542443443
0,560 to 590,538.2633331830776,876.9949833658975,780.0,4.359430604982206,1.3571428571428572,0.005208333333333333,2125.279999999999,104.0,1240.0,420.0,820.0,-810.0,2470.0,19260,0.8350553278350908
0,590 to 620,566.0145293471826,895.2070227549992,790.0,4.26510067114094,1.306532663316583,0.001658374792703151,2242.8799999999974,100.0,1268.0,417.0,851.0,-859.5,2544.5,19241,0.8342315453206118
0,620 to 650,582.4129909172285,918.1361396592989,800.0,4.193548387096774,1.2738853503184713,0.001564945226917058,2320.0,102.10000000000002,1300.0,420.0,880.0,-900.0,2620.0,14512,0.629196413164218
0,650 to 680,608.8145340703024,951.2059697167282,840.0,4.180704441041348,1.264792899408284,0.0015060240963855422,2406.719999999994,108.0,1352.0,432.0,920.0,-948.0,2732.0,14090,0.6108997699478936
0,680 to 710,606.5310596360904,957.4658703071673,850.0,3.9705882352941178,1.2243878060969515,0.011379800853485065,2414.619999999999,113.0,1351.25,450.0,901.25,-901.875,2703.125,12026,0.5214109746907997
0,710 to 740,638.4167153636818,982.6783669638668,870.0,3.943661971830986,1.2019099590723057,0.001388888888888889,2500.0,99.0,1403.0,450.0,953.0,-979.5,2832.5,10979,0.4760162224455588
